height,miner_address,reward_bina,total_mined_bina,timestamp_unix
218,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10900,1783171281
219,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,10950,1783171283
220,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11000,1783171289
221,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11050,1783171291
222,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11100,1783171325
223,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11150,1783171334
224,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11200,1783171348
225,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11250,1783171367
226,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11300,1783171403
227,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11350,1783171404
228,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11400,1783171411
229,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11450,1783171413
230,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11500,1783171419
231,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11550,1783171427
232,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11600,1783171436
233,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11650,1783171459
234,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11700,1783171478
235,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11750,1783171482
236,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11800,1783171490
237,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11850,1783171509
238,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11900,1783171513
239,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,11950,1783171514
240,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12000,1783171525
241,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12050,1783171541
242,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12100,1783171546
243,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12150,1783171554
244,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12200,1783171583
245,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12250,1783171600
246,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12300,1783171605
247,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12350,1783171619
248,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12400,1783171623
249,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12450,1783171635
250,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12500,1783171643
251,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12550,1783171666
252,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12600,1783171694
253,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12650,1783171716
254,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12700,1783171749
255,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12750,1783171756
256,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12800,1783171796
257,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12850,1783171800
258,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12900,1783171830
259,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,12950,1783171831
260,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13000,1783171842
261,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13050,1783171856
262,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13100,1783171898
263,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13150,1783171901
264,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13200,1783171930
265,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13250,1783171944
266,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13300,1783171953
267,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13350,1783171963
268,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13400,1783171983
269,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13450,1783171984
270,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13500,1783172008
271,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13550,1783172022
272,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13600,1783172024
273,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13650,1783172038
274,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13700,1783172058
275,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13750,1783172062
276,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13800,1783172067
277,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13850,1783172099
278,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13900,1783172114
279,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,13950,1783172149
280,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14000,1783172151
281,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14050,1783172192
282,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14100,1783172208
283,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14150,1783172214
284,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14200,1783172214
285,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14250,1783172227
286,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14300,1783172232
287,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14350,1783172253
288,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14400,1783172269
289,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14450,1783172272
290,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14500,1783172287
291,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,14550,1783172293
